TIMESTAMP;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
Thu Mar 16 10:40:42 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:44 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:46 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:47 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:48 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:49 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:51 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:52 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:57 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:40:58 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:00 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:01 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:02 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:03 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:06 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:09 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:10 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:13 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:16 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:17 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:18 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:19 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:21 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:22 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:23 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:25 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:26 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:27 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:28 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:31 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:34 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:37 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:38 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:40 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:41 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:42 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:43 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:45 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:46 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:50 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:51 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:54 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:55 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:58 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:41:59 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:00 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:02 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:03 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:04 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:06 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:08 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:09 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:13 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:14 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:15 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:16 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:19 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:20 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:21 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:24 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:27 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:28 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:33 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:34 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:36 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:37 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:38 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:39 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:41 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:44 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:45 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:46 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:47 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:48 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:49 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:54 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:56 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:42:57 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:00 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:01 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:02 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:03 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:05 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:06 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:08 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:09 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:10 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:11 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:13 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:16 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:18 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:19 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:20 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:22 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:23 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:25 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:26 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:27 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:28 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:30 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:31 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:32 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:33 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:35 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:36 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:39 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:41 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:44 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:45 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:47 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:48 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:53 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:54 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:55 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:56 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:58 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:43:59 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:00 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:01 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:02 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:03 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:04 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:06 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:07 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:08 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:09 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:10 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:11 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:14 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:15 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:16 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:17 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:19 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:20 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:21 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:22 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:27 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:28 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:29 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:30 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:31 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:32 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:34 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:35 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:36 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:39 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:40 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:41 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:44 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:45 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:46 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:49 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:50 2023;-74;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:51 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:52 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:55 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:56 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:57 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:44:59 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:02 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:04 2023;-74;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:05 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:07 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:08 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:10 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:11 2023;-74;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:14 2023;-74;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:15 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:17 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:18 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:19 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:20 2023;-67;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:22 2023;-66;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:23 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:24 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:25 2023;-72;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:26 2023;-73;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:27 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:28 2023;-65;-0.4, 15;4.6, 0;15.8113883
Thu Mar 16 10:45:29 2023;-72;-0.4, 15;4.6, 0;15.8113883
