TIMESTAMP;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
Wed Jan 25 16:20:42 2023;-66;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:44 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:45 2023;-65;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:46 2023;-69;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:47 2023;-70;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:48 2023;-69;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:49 2023;-66;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:50 2023;-70;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:51 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:52 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:54 2023;-70;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:56 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:20:58 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:03 2023;-69;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:04 2023;-66;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:05 2023;-69;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:06 2023;-66;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:07 2023;-69;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:10 2023;-76;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:12 2023;-74;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:13 2023;-72;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:14 2023;-71;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:16 2023;-75;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:18 2023;-80;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:19 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:20 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:21 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:22 2023;-75;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:23 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:24 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:25 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:26 2023;-73;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:27 2023;-62;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:28 2023;-75;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:29 2023;-72;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:30 2023;-74;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:31 2023;-71;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:32 2023;-75;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:33 2023;-72;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:37 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:38 2023;-76;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:41 2023;-63;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:42 2023;-74;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:44 2023;-75;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:45 2023;-76;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:46 2023;-75;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:47 2023;-72;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:48 2023;-74;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:49 2023;-64;-10.55, 0;0, 0;10.55
Wed Jan 25 16:21:51 2023;-63;-10.55, 0;0, 0;10.55
