Timestamp;Date ISO;Rx Power [dBm]
1679668500.891459599;2023-03-24 14:35:00;-57
1679668501.172776580;2023-03-24 14:35:01;-49
1679668501.558765839;2023-03-24 14:35:01;-49
1679668501.578698580;2023-03-24 14:35:01;-49
1679668502.259103728;2023-03-24 14:35:02;-45
1679668506.307699244;2023-03-24 14:35:06;-51
1679668507.501280854;2023-03-24 14:35:07;-51
1679668507.976668280;2023-03-24 14:35:07;-51
1679668508.321286391;2023-03-24 14:35:08;-52
1679668508.654799150;2023-03-24 14:35:08;-52
1679668508.699794409;2023-03-24 14:35:08;-52
1679668508.719164983;2023-03-24 14:35:08;-52
1679668508.763603113;2023-03-24 14:35:08;-57
1679668509.540554649;2023-03-24 14:35:09;-52
1679668510.184077667;2023-03-24 14:35:10;-51
1679668510.639252260;2023-03-24 14:35:10;-57
1679668511.311318593;2023-03-24 14:35:11;-53
1679668511.327572500;2023-03-24 14:35:11;-53
1679668511.580119167;2023-03-24 14:35:11;-46
1679668511.600355426;2023-03-24 14:35:11;-46
1679668511.932604741;2023-03-24 14:35:11;-51
1679668515.004111442;2023-03-24 14:35:15;-51
1679668515.492916461;2023-03-24 14:35:15;-51
1679668516.158934460;2023-03-24 14:35:16;-52
1679668516.179406905;2023-03-24 14:35:16;-52
1679668516.437956423;2023-03-24 14:35:16;-50
1679668517.854269107;2023-03-24 14:35:17;-52
1679668518.026850459;2023-03-24 14:35:18;-49
1679668518.046180052;2023-03-24 14:35:18;-49
1679668518.702973792;2023-03-24 14:35:18;-51
1679668518.834166977;2023-03-24 14:35:18;-51
1679668518.855191236;2023-03-24 14:35:18;-51
1679668519.535158292;2023-03-24 14:35:19;-52
1679668519.674066477;2023-03-24 14:35:19;-50
1679668519.696403440;2023-03-24 14:35:19;-49
1679668519.874908847;2023-03-24 14:35:19;-51
1679668519.897470625;2023-03-24 14:35:19;-51
1679668519.963715162;2023-03-24 14:35:19;-56
1679668520.627304754;2023-03-24 14:35:20;17
1679668520.737801254;2023-03-24 14:35:20;-49
1679668520.757431235;2023-03-24 14:35:20;-48
1679668521.141432513;2023-03-24 14:35:21;-51
1679668524.770220270;2023-03-24 14:35:24;-51
1679668524.909378548;2023-03-24 14:35:24;-49
1679668525.686235214;2023-03-24 14:35:25;-53
1679668525.774999566;2023-03-24 14:35:25;-48
1679668525.818737566;2023-03-24 14:35:25;-47
1679668525.838089769;2023-03-24 14:35:25;-47
1679668525.864074362;2023-03-24 14:35:25;-46
1679668525.995002065;2023-03-24 14:35:25;-51
1679668526.014307491;2023-03-24 14:35:26;-50
1679668526.299528621;2023-03-24 14:35:26;-46
1679668526.319233250;2023-03-24 14:35:26;-51
1679668529.467528249;2023-03-24 14:35:29;-56
1679668530.104316952;2023-03-24 14:35:30;-51
1679668530.284108452;2023-03-24 14:35:30;-51
1679668531.486561803;2023-03-24 14:35:31;-51
1679668531.724046655;2023-03-24 14:35:31;-49
1679668532.784206710;2023-03-24 14:35:32;-51
