Timestamp;Date ISO;POTENZA_dBm
1679667608.377409890;2023-03-24 14:20:08;-57
1679667608.443636501;2023-03-24 14:20:08;-62
1679667609.593758223;2023-03-24 14:20:09;-57
1679667609.881948519;2023-03-24 14:20:09;-75
1679667609.901246741;2023-03-24 14:20:09;-57
1679667610.491666259;2023-03-24 14:20:10;-57
1679667610.692718518;2023-03-24 14:20:10;-57
1679667611.313973611;2023-03-24 14:20:11;-57
1679667611.505602222;2023-03-24 14:20:11;-54
1679667612.151820314;2023-03-24 14:20:12;-62
1679667612.172695610;2023-03-24 14:20:12;-62
1679667612.442050351;2023-03-24 14:20:12;17
1679667612.545160443;2023-03-24 14:20:12;-56
1679667613.492661924;2023-03-24 14:20:13;-52
1679667613.512021202;2023-03-24 14:20:13;-52
1679667613.617026257;2023-03-24 14:20:13;-57
1679667613.636716276;2023-03-24 14:20:13;-57
1679667617.728700570;2023-03-24 14:20:17;-57
1679667617.746457236;2023-03-24 14:20:17;-55
1679667619.126390699;2023-03-24 14:20:19;-57
1679667620.387830642;2023-03-24 14:20:20;-57
1679667637.249192799;2023-03-24 14:20:37;-57
1679667637.269990688;2023-03-24 14:20:37;-54
1679667645.847747794;2023-03-24 14:20:45;-56
1679667645.911793757;2023-03-24 14:20:45;-57
1679667645.936477942;2023-03-24 14:20:45;-62
1679667645.959315738;2023-03-24 14:20:45;-62
1679667646.973735608;2023-03-24 14:20:46;-57
1679667647.105636460;2023-03-24 14:20:47;-57
1679667647.127608682;2023-03-24 14:20:47;-55
1679667647.991761255;2023-03-24 14:20:47;-59
1679667648.750556199;2023-03-24 14:20:48;-57
1679667649.503128792;2023-03-24 14:20:49;-56
1679667650.213715717;2023-03-24 14:20:50;-57
1679667651.196704328;2023-03-24 14:20:51;-59
1679667651.607790179;2023-03-24 14:20:51;-73
1679667651.627145568;2023-03-24 14:20:51;-60
1679667651.652799957;2023-03-24 14:20:51;-59
1679667651.760918290;2023-03-24 14:20:51;-52
1679667651.785374550;2023-03-24 14:20:51;-53
1679667651.830254161;2023-03-24 14:20:51;-58
1679667651.874079494;2023-03-24 14:20:51;17
1679667655.731692029;2023-03-24 14:20:55;-57
1679667655.753035529;2023-03-24 14:20:55;-56
1679667655.878059751;2023-03-24 14:20:55;-55
