Timestamp;Rx Power [dBm];Relative Coordinates [m];Target Coordinates [m];Distance Target - Anchor [m]
Wed Jan 25 17:09:16 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:17 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:18 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:19 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:20 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:21 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:22 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:23 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:24 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:25 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:27 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:28 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:29 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:30 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:32 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:33 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:34 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:35 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:37 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:39 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:40 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:42 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:43 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:45 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:47 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:48 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:49 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:50 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:52 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:54 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:56 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:58 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:09:59 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:01 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:02 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:03 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:04 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:07 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:08 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:09 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:12 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:13 2023;-63;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:15 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:16 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:18 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:19 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:20 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:21 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:25 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:27 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:28 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:29 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:30 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:32 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:33 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:34 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:35 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:36 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:37 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:38 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:39 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:41 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:42 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:43 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:44 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:46 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:47 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:49 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:50 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:51 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:52 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:53 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:54 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:56 2023;-62;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:10:57 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:02 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:04 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:05 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:07 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:08 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:09 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:10 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:11 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:12 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:14 2023;-61;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:15 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:16 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:17 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:18 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:19 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:20 2023;-58;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:21 2023;-59;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:22 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:23 2023;-60;-10.55, -7.5;0, 0;12.944
Wed Jan 25 17:11:25 2023;-59;-10.55, -7.5;0, 0;12.944
